"id","Route.Stop","state","name","created_at","updated_at","Route.Latitude","Route.Longitude","year","stop_des","wind","sky","noise","cars","moon","dir","species","min.1","min.2","min.3","min.4","min.5","min.6"
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2019,"",0,1,"0","0","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2021,"",0,0,"0","3","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2014,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2014,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2013,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2018,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2020,"",0,2,"0","1","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2012,"",NA,NA,"","","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2015,"",0,0,"0","0","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2016,"",0,0,"1","2","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2021,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2017,"",1,0,"0","0","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2022,"",0,1,"0","1","","","NONE",0,0,0,0,0,0
"NH02",10,"NH","Canterbury","","",43.431,-71.64,2019,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
